count,origin_id,desti_id
9,ST-102,ST-1378
9,ST-102,ST-1660
3,ST-102,ST-1722
711,ST-102,ST-2308
3,ST-102,ST-2309
3,ST-102,ST-2546
7,ST-102,ST-257
10,ST-102,ST-258
15,ST-102,ST-259
10,ST-102,ST-2891
3,ST-102,ST-3188
21,ST-102,ST-972
22,ST-102,ST-974
6,ST-102,ST-98
9,ST-102,ST-980
12,ST-102,ST-987
11,ST-102,ST-99
3,ST-107,ST-2546
3,ST-107,ST-258
6,ST-107,ST-483
3,ST-107,ST-974
85,ST-107,ST-99
3,ST-113,ST-1271
7,ST-113,ST-2314
6,ST-113,ST-2546
18,ST-113,ST-2547
3,ST-113,ST-2865
36,ST-113,ST-2891
11,ST-113,ST-99
12,ST-1191,ST-258
9,ST-1191,ST-2865
13,ST-1191,ST-483
154,ST-1191,ST-99
240,ST-1271,ST-1378
12,ST-1271,ST-1429
21,ST-1271,ST-1722
6,ST-1271,ST-2309
13,ST-1271,ST-2542
43,ST-1271,ST-259
3,ST-1271,ST-97
18,ST-1378,ST-1379
3,ST-1378,ST-1660
6,ST-1378,ST-1663
99,ST-1378,ST-1722
3,ST-1378,ST-2305
61,ST-1378,ST-2308
3,ST-1378,ST-2309
19,ST-1378,ST-2314
77,ST-1378,ST-2407
6,ST-1378,ST-2542
3,ST-1378,ST-2544
3,ST-1378,ST-258
234,ST-1378,ST-259
855,ST-1378,ST-3188
27,ST-1378,ST-378
4,ST-1378,ST-483
25,ST-1378,ST-97
19,ST-1378,ST-972
101,ST-1378,ST-973
19,ST-1378,ST-974
3,ST-1378,ST-980
18,ST-1378,ST-984
6,ST-1378,ST-987
13,ST-1378,ST-99
3,ST-1379,ST-2542
3,ST-1428,ST-973
7,ST-1428,ST-99
28,ST-1429,ST-1660
4,ST-1429,ST-2305
1587,ST-1429,ST-2308
6,ST-1429,ST-2407
34,ST-1429,ST-2542
3,ST-1429,ST-258
31,ST-1429,ST-3188
10,ST-1429,ST-378
57,ST-1429,ST-97
853,ST-1429,ST-972
141,ST-1429,ST-973
35,ST-1429,ST-974
4,ST-1429,ST-99
144,ST-1660,ST-1663
3,ST-1660,ST-1664
1239,ST-1660,ST-2305
3,ST-1660,ST-2308
12,ST-1660,ST-2309
68,ST-1660,ST-2314
9,ST-1660,ST-2542
3,ST-1660,ST-2544
278,ST-1660,ST-2545
50,ST-1660,ST-2546
6,ST-1660,ST-2547
18,ST-1660,ST-257
117,ST-1660,ST-258
9,ST-1660,ST-259
1317,ST-1660,ST-2865
15,ST-1660,ST-2891
9,ST-1660,ST-3188
9,ST-1660,ST-378
822,ST-1660,ST-483
17,ST-1660,ST-97
211,ST-1660,ST-974
221,ST-1660,ST-98
32,ST-1660,ST-980
15,ST-1660,ST-984
191,ST-1660,ST-987
22,ST-1660,ST-988
2409,ST-1660,ST-99
6,ST-1663,ST-2305
56,ST-1663,ST-2308
9,ST-1663,ST-2309
217,ST-1663,ST-2314
12,ST-1663,ST-2545
12,ST-1663,ST-2547
9,ST-1663,ST-258
3,ST-1663,ST-259
12,ST-1663,ST-2865
19,ST-1663,ST-2891
3,ST-1663,ST-3188
11,ST-1663,ST-378
3,ST-1663,ST-483
6,ST-1663,ST-974
25,ST-1663,ST-98
6,ST-1663,ST-980
6,ST-1663,ST-987
3,ST-1663,ST-988
71,ST-1663,ST-99
15,ST-1664,ST-1722
3,ST-1664,ST-2542
3,ST-1664,ST-381
3,ST-1664,ST-984
27,ST-1722,ST-2308
2067,ST-1722,ST-2309
3,ST-1722,ST-2314
19,ST-1722,ST-2407
9,ST-1722,ST-2542
3,ST-1722,ST-2547
3,ST-1722,ST-258
459,ST-1722,ST-259
12,ST-1722,ST-3188
3,ST-1722,ST-378
6,ST-1722,ST-97
3,ST-1722,ST-984
3,ST-1722,ST-987
55,ST-2305,ST-2308
3,ST-2305,ST-2314
4,ST-2305,ST-2545
3,ST-2305,ST-2546
3,ST-2305,ST-258
3,ST-2305,ST-2865
6,ST-2305,ST-483
3,ST-2305,ST-97
6,ST-2305,ST-972
3,ST-2305,ST-973
8,ST-2305,ST-974
9,ST-2305,ST-98
3,ST-2305,ST-980
6,ST-2305,ST-987
32,ST-2305,ST-99
52,ST-2308,ST-2309
225,ST-2308,ST-2314
3,ST-2308,ST-2407
16,ST-2308,ST-2542
7,ST-2308,ST-2545
7,ST-2308,ST-2547
21,ST-2308,ST-257
32,ST-2308,ST-258
24,ST-2308,ST-259
21,ST-2308,ST-2865
3,ST-2308,ST-2891
32,ST-2308,ST-3188
7,ST-2308,ST-378
3,ST-2308,ST-381
44,ST-2308,ST-483
3,ST-2308,ST-97
8,ST-2308,ST-972
95,ST-2308,ST-973
10309,ST-2308,ST-974
24,ST-2308,ST-980
137,ST-2308,ST-984
252,ST-2308,ST-987
3,ST-2308,ST-988
249,ST-2308,ST-99
9,ST-2309,ST-2314
21,ST-2309,ST-2407
3,ST-2309,ST-2542
3,ST-2309,ST-2547
9,ST-2309,ST-257
23,ST-2309,ST-258
12,ST-2309,ST-259
13,ST-2309,ST-2865
62,ST-2309,ST-2891
42,ST-2309,ST-3188
15,ST-2309,ST-378
3,ST-2309,ST-381
3,ST-2309,ST-97
45,ST-2309,ST-972
3,ST-2309,ST-974
4,ST-2309,ST-98
16,ST-2309,ST-980
7,ST-2309,ST-984
30,ST-2309,ST-987
3,ST-2309,ST-988
15,ST-2309,ST-99
3,ST-2314,ST-2407
3,ST-2314,ST-2542
3,ST-2314,ST-2544
3,ST-2314,ST-2545
409,ST-2314,ST-2546
79,ST-2314,ST-257
17,ST-2314,ST-258
12,ST-2314,ST-259
45,ST-2314,ST-2865
116,ST-2314,ST-2891
3,ST-2314,ST-3188
3,ST-2314,ST-378
6,ST-2314,ST-483
31,ST-2314,ST-972
33,ST-2314,ST-974
6,ST-2314,ST-98
37,ST-2314,ST-980
6,ST-2314,ST-984
101,ST-2314,ST-987
3,ST-2314,ST-988
9,ST-2314,ST-99
6,ST-2407,ST-257
15,ST-2407,ST-259
3,ST-2407,ST-2891
3,ST-2407,ST-97
3,ST-2407,ST-974
3,ST-2407,ST-987
3,ST-2407,ST-99
62,ST-2542,ST-2544
3,ST-2542,ST-2545
9,ST-2542,ST-259
3,ST-2542,ST-3188
3,ST-2542,ST-973
324,ST-2542,ST-974
4,ST-2542,ST-98
3,ST-2542,ST-984
19,ST-2542,ST-99
3,ST-2544,ST-2545
6,ST-2544,ST-257
56,ST-2544,ST-259
80,ST-2544,ST-3188
155,ST-2544,ST-97
136,ST-2544,ST-973
14,ST-2544,ST-974
9,ST-2545,ST-2865
3,ST-2545,ST-483
3,ST-2545,ST-98
56,ST-2545,ST-99
19,ST-2546,ST-2865
27,ST-2546,ST-483
6,ST-2546,ST-98
3,ST-2546,ST-987
1969,ST-2546,ST-99
59,ST-2547,ST-257
3,ST-2547,ST-2865
473,ST-2547,ST-2891
3,ST-2547,ST-483
7,ST-2547,ST-980
6,ST-2547,ST-99
3,ST-257,ST-2865
336,ST-257,ST-2891
15,ST-257,ST-3188
3,ST-257,ST-97
3,ST-257,ST-974
9,ST-257,ST-987
15,ST-257,ST-99
25,ST-258,ST-2865
5,ST-258,ST-2891
3,ST-258,ST-3188
8,ST-258,ST-378
33,ST-258,ST-483
6,ST-258,ST-972
3,ST-258,ST-973
229,ST-258,ST-974
3,ST-258,ST-98
12,ST-258,ST-980
13,ST-258,ST-984
9,ST-258,ST-987
5519,ST-258,ST-99
11,ST-259,ST-3188
6,ST-259,ST-378
7,ST-259,ST-97
18,ST-259,ST-974
21,ST-259,ST-984
9,ST-259,ST-987
15,ST-259,ST-99
34,ST-2865,ST-2891
6,ST-2865,ST-3188
67,ST-2865,ST-483
8,ST-2865,ST-972
6,ST-2865,ST-973
30,ST-2865,ST-98
3,ST-2865,ST-980
38,ST-2865,ST-987
1705,ST-2865,ST-99
9,ST-2891,ST-3188
3,ST-2891,ST-483
3,ST-2891,ST-98
35,ST-2891,ST-984
3,ST-2891,ST-987
205,ST-2891,ST-99
9,ST-3188,ST-378
3,ST-3188,ST-381
12,ST-3188,ST-972
3,ST-3188,ST-973
3,ST-3188,ST-980
3,ST-3188,ST-984
6,ST-3188,ST-987
6,ST-3188,ST-99
4,ST-378,ST-381
5,ST-378,ST-483
3,ST-378,ST-973
17,ST-378,ST-974
3,ST-378,ST-98
6,ST-378,ST-980
3,ST-378,ST-984
3,ST-378,ST-987
17,ST-378,ST-99
63,ST-381,ST-984
13,ST-483,ST-97
16,ST-483,ST-972
3,ST-483,ST-973
7,ST-483,ST-974
9,ST-483,ST-98
4,ST-483,ST-980
6,ST-483,ST-987
12,ST-483,ST-988
82,ST-483,ST-99
14,ST-590,ST-984
22,ST-972,ST-973
4913,ST-972,ST-974
4,ST-972,ST-980
12,ST-972,ST-984
4,ST-972,ST-987
6,ST-972,ST-988
102,ST-972,ST-99
31,ST-973,ST-974
19,ST-973,ST-99
6,ST-974,ST-984
353,ST-974,ST-99
6,ST-97,ST-972
9,ST-97,ST-973
389,ST-97,ST-974
3,ST-97,ST-98
6,ST-97,ST-987
3,ST-97,ST-988
56,ST-97,ST-99
4,ST-980,ST-984
7,ST-980,ST-987
4,ST-980,ST-988
2810,ST-980,ST-99
10,ST-984,ST-99
22,ST-987,ST-99
57,ST-988,ST-99
6,ST-98,ST-984
33,ST-98,ST-987
67,ST-98,ST-99
